"","Group","Species","Longitude","Latitude"
"379","Birds","Picumnus cirratus",-43.35,-19.883333
"380","Birds","Manacus manacus",-43.35,-19.883333
"381","Birds","Basileuterus culicivorus",-43.35,-19.883333
"382","Birds","Hylophilus poicilotis",-43.35,-19.883333
"383","Birds","Tangara cayana",-43.35,-19.883333
"384","Birds","Saltator similis",-43.35,-19.883333
"385","Birds","Geothlypis aequinoctialis",-43.35,-19.883333
"386","Birds","Schiffornis virescens",-43.35,-19.883333
"387","Birds","Myiothlypis flaveola",-43.35,-19.883333
"388","Birds","Thamnophilus caerulescens",-43.35,-19.883333
"389","Birds","Turdus rufiventris",-43.35,-19.883333
"390","Birds","Turdus leucomelas",-43.35,-19.883333
"391","Birds","Turdus albicollis",-43.35,-19.883333
"392","Birds","Elaenia obscura",-43.35,-19.883333
"393","Birds","Camptostoma obsoletum",-43.35,-19.883333
"394","Birds","Coereba flaveola",-43.35,-19.883333
"395","Birds","Sporophila nigricollis",-43.35,-19.883333
"396","Birds","Thamnophilus caerulescens",-43.501666,-20.186111
"397","Birds","Mionectes rufiventris",-43.501666,-20.186111
"398","Birds","Leptopogon amaurocephalus",-43.501666,-20.186111
"399","Birds","Tolmomyias sulphurescens",-43.501666,-20.186111
"400","Birds","Lathrotriccus euleri",-43.501666,-20.186111
"401","Birds","Chiroxiphia caudata",-43.501666,-20.186111
"402","Birds","Turdus flavipes",-43.501666,-20.186111
"403","Birds","Turdus rufiventris",-43.501666,-20.186111
"404","Birds","Turdus leucomelas",-43.501666,-20.186111
"405","Birds","Turdus amaurochalinus",-43.501666,-20.186111
"406","Birds","Turdus albicollis",-43.501666,-20.186111
"407","Birds","Cyclarhis gujanensis",-43.501666,-20.186111
"408","Birds","Basileuterus culicivorus",-43.501666,-20.186111
"409","Birds","Tachyphonus coronatus",-43.501666,-20.186111
"410","Birds","Trichothraupis melanops",-43.501666,-20.186111
"411","Birds","Haplospiza unicolor",-43.501666,-20.186111
"412","Birds","Saltator similis",-43.501666,-20.186111
"413","Birds","Picumnus cirratus",-43.501666,-20.186111
"414","Birds","Capsiempis flaveola",-43.501666,-20.186111
"415","Birds","Myiarchus ferox",-43.501666,-20.186111
"416","Birds","Manacus manacus",-43.501666,-20.186111
"417","Birds","Geothlypis aequinoctialis",-43.501666,-20.186111
"418","Birds","Zonotrichia capensis",-43.501666,-20.186111
"419","Birds","Leptopogon amaurocephalus",-43.497222,-20.192222
"420","Birds","Tolmomyias sulphurescens",-43.497222,-20.192222
"421","Birds","Lathrotriccus euleri",-43.497222,-20.192222
"422","Birds","Myiarchus swainsoni",-43.497222,-20.192222
"423","Birds","Chiroxiphia caudata",-43.497222,-20.192222
"424","Birds","Turdus leucomelas",-43.497222,-20.192222
"425","Birds","Turdus albicollis",-43.497222,-20.192222
"426","Birds","Cyclarhis gujanensis",-43.497222,-20.192222
"427","Birds","Basileuterus culicivorus",-43.497222,-20.192222
"428","Birds","Coereba flaveola",-43.497222,-20.192222
"429","Birds","Tachyphonus coronatus",-43.497222,-20.192222
"430","Birds","Trichothraupis melanops",-43.497222,-20.192222
"431","Birds","Dacnis cayana",-43.497222,-20.192222
"432","Birds","Haplospiza unicolor",-43.497222,-20.192222
"433","Birds","Saltator similis",-43.497222,-20.192222
"434","Birds","Picumnus cirratus",-43.497222,-20.192222
"435","Birds","Capsiempis flaveola",-43.497222,-20.192222
"436","Birds","Myiophobus fasciatus",-43.497222,-20.192222
"437","Birds","Myiarchus ferox",-43.497222,-20.192222
"438","Birds","Geothlypis aequinoctialis",-43.497222,-20.192222
"439","Birds","Tangara cyanoventris",-43.497222,-20.192222
"440","Birds","Tangara cayana",-43.497222,-20.192222
"441","Birds","Zonotrichia capensis",-43.497222,-20.192222
"442","Birds","Sporophila nigricollis",-43.497222,-20.192222
"443","Birds","Camptostoma obsoletum",-43.501666,-20.191666
"444","Birds","Myiarchus swainsoni",-43.501666,-20.191666
"445","Birds","Chiroxiphia caudata",-43.501666,-20.191666
"446","Birds","Turdus leucomelas",-43.501666,-20.191666
"447","Birds","Turdus amaurochalinus",-43.501666,-20.191666
"448","Birds","Cyclarhis gujanensis",-43.501666,-20.191666
"449","Birds","Coereba flaveola",-43.501666,-20.191666
"450","Birds","Tachyphonus coronatus",-43.501666,-20.191666
"451","Birds","Dacnis cayana",-43.501666,-20.191666
"452","Birds","Haplospiza unicolor",-43.501666,-20.191666
"453","Birds","Volatinia jacarina",-43.501666,-20.191666
"454","Birds","Saltator similis",-43.501666,-20.191666
"455","Birds","Elaenia flavogaster",-43.501666,-20.191666
"456","Birds","Myiophobus fasciatus",-43.501666,-20.191666
"457","Birds","Knipolegus nigerrimus",-43.501666,-20.191666
"458","Birds","Myiarchus ferox",-43.501666,-20.191666
"459","Birds","Tyrannus melancholicus",-43.501666,-20.191666
"460","Birds","Schistochlamys ruficapillus",-43.501666,-20.191666
"461","Birds","Piranga flava",-43.501666,-20.191666
"462","Birds","Tangara cyanoventris",-43.501666,-20.191666
"463","Birds","Tangara cayana",-43.501666,-20.191666
"464","Birds","Zonotrichia capensis",-43.501666,-20.191666
"465","Birds","Sporophila nigricollis",-43.501666,-20.191666
"466","Birds","Sporophila caerulescens",-43.501666,-20.191666
"467","Birds","Thamnophilus caerulescens",-42,-20.116666
"468","Birds","Mionectes rufiventris",-42,-20.116666
"469","Birds","Attila rufus",-42,-20.116666
"470","Birds","Chiroxiphia caudata",-42,-20.116666
